"Permit.Number","Applied","Approved","Issued.Date","Finaled","Expired","Permit.Type","Permit.Sub.Type","Status","Subdivision","Address","Description","Job.Value","CO.Issued.Date","Contractor.Name","RECORDID"
"CMIS23-00158","06/22/2023","06/27/2023","07/05/2023","","01/01/2024","COMMMISC","SALES AND CONST TRAILER","ISSUED","","7902 CARR DR","Construction Trailer",1401236,"","SAUNDERS CONSTRUCTION LLC","ECON:230622011531657"
"CMIS23-00149","06/09/2023","09/08/2023","09/13/2023","","03/12/2024","COMMMISC","SALES AND CONST TRAILER","ISSUED","SABELL FLG 2","11904 W 57TH DR","Temporary Sales Trailer",5000,"","REMINGTON HOMES COMPANY","ECON:230609120431031"
"CMIS23-00126","05/16/2023","05/22/2023","05/23/2023","","11/22/2023","COMMMISC","ACCESSORY STRUCTURE","ISSUED","","10501 W 63RD LN","COMMON ELECTRIC PANEL FOR SITE...",600,"","RALSTON TERRACE LLC","ECON:230516115353195"
"CMIS23-00101","04/25/2023","05/17/2023","05/17/2023","","11/13/2023","COMMMISC","SALES AND CONST TRAILER","ISSUED","RALSTON CREEK SOUTHEAST MINOR ...","5772 GARRISON ST","CONSTRUCTION/OFFICE TRAILER",2.2e+07,"","R.G. BRINKMANN - ROW","ECON:230425030553049"
"CMIS23-00072","03/30/2023","05/19/2023","05/23/2023","","11/29/2023","COMMMISC","SALES AND CONST TRAILER","ISSUED","RALSTON CREEK TOWNHOMES SUBDIV...","9468 W 58TH LN A","Temp Const Office AND STORAGE ...",5000,"","CAISSON INVESTMENTS INC dba BE...","ECON:230330012248129"
"CMIS23-00057","03/17/2023","05/15/2023","05/31/2023","","11/27/2023","COMMMISC","ACCESSORY STRUCTURE","ISSUED","LEYDEN ROCK SUB FLG NO 1","17685 W 83RD DR","Shade Structure Install with c...",10500,"","STONE CABIN DESIGNS LLC","ECON:230317042758135"
"CMIS23-00027","02/01/2023","04/10/2023","04/11/2023","","10/08/2023","COMMMISC","SALES AND CONST TRAILER","ISSUED","","16753 CANDELAS PKWY","construction trailer at Trails...",5000,"","TAYLOR MORRISON","ECON:230201022718062"
"CMIS22-00247","12/29/2022","02/01/2023","02/03/2023","02/13/2023","","COMMMISC","ACCESS CONTROL","FINALED","THE MEADOWS CENTRE A PLANNED U...","8230 W 80TH AVE 1","REVIVE CHURCH ACCESS CONTROL",2150,"","VIDEOTRONIX INC","JSUK:221229022533534"
"CMIS22-00232","11/17/2022","11/17/2022","11/18/2022","03/07/2023","","COMMMISC","PLUMBING","FINALED","SKYLINE ESTATES FILING NO. 1 -...","10239 W 55TH DR 203","Install 75 gal gas water heate...",6015,"","COFFMAN & COMPANY HEATING AND ...","MR:2211171051180416"
"CMIS22-00230","11/16/2022","11/16/2022","11/16/2022","11/22/2022","","COMMMISC","MECHANICAL","FINALED","ARVADA WATER TOWER DISTRICT","5480 ALLISON ST 201","Replace 80% 70k BTU furnace & ...",12750,"","COOPER HEATING & COOLING INC","MR:2211161046570691"
