"Permit Number","Applied","Approved","Issued Date","Finaled","Expired","Permit Type","Permit Sub Type","Status","Subdivision","Address","Description","Job Value","CO Issued Date","Contractor Name","RECORDID"
"ADU23-00017","08/11/2023","07/24/2023","07/25/2023","","03/17/2024","ADU","A","ISSUED","RALSTON VALLEY FILING NO. 5","6844 COORS ST","Detached AdU","250000","","Shell Construction Services In...","MR:2308111247080719"
"CMIS23-00198","08/02/2023","08/03/2023","08/24/2023","","02/20/2024","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","ISSUED","","7883 ALLISON WAY","Existing FPE meterstack and ma...","5000","","LEGACY ELECTRIC LLC","ECON:230802082730173"
"CMIS23-00199","08/02/2023","08/03/2023","08/24/2023","","02/20/2024","COMMERCIAL ELECTRICAL","NEW OR REPLACE SERVICE CHANGE","ISSUED","","7881 ALLISON WAY","Existing FPE meterstack and ma...","5000","","LEGACY ELECTRIC LLC","ECON:230802083215033"
"BKFL23-00002","07/31/2023","07/31/2023","07/31/2023","08/24/2023","","BACKFLOW DEVICE","RESIDENTIAL","FINALED","ARVADA WEST FILING NO. 6","6663 KIPLING ST","Install backflow device for sp...","600","","KITZMANN ALVIN J","MR:2307310846140228"
"CMIS23-00195","07/28/2023","07/31/2023","07/31/2023","08/01/2023","","COMMERCIAL ELECTRICAL","METER HOUSING ONLY","FINALED","FOREST SPRINGS","15359 W 67TH AVE","Replace damaged meter housing ...","1495","","MAGEE ELECTRIC INC","ECON:230728020834107"
"CIP23-00002","07/27/2023","08/07/2023","08/07/2023","","01/01/2024","CIP","","UNDER CONSTRUCTION","","","CITY PROJECT 21-SR-03 -ALKIRE ...","0","","Moltz Construction, Inc.- ROW","JMI:2307270847110157"
"CMIS23-00192","07/26/2023","07/27/2023","07/27/2023","","03/12/2024","COMMERCIAL MECHANICAL","","ISSUED","SUNDSTRAND FLUID HANDLING COMP...","6701 INDIANA ST","Remove and replace (2) MAU Uni...","177877","","DUCTS UNLIMITED MECH SYSTEMS","ECON:230726091413163"
"CMIS23-00190","07/25/2023","07/26/2023","07/26/2023","08/18/2023","","COMMERCIAL MECHANICAL","","FINALED","CONDOMINIUM MAP FOR TIMBERCOVE...","8424 EVERETT WAY B","replace AC unit,","15433","","FIX-IT GROUP LLC","ECON:230725011153078"
"CMIS23-00186","07/20/2023","07/21/2023","07/24/2023","08/04/2023","","COMMERCIAL MECHANICAL","","FINALED","LAKE ARBOR TOWNHOMES","6952 W 87TH WAY 261","swap furnace and ac unit","21743","","FIX-IT GROUP LLC","ECON:230720025952857"
"CMIS23-00183","07/19/2023","07/20/2023","07/20/2023","","03/12/2024","COMMERCIAL MECHANICAL","","ISSUED","SKYLINE ESTATES FILING NO. 1 -...","10149 W 55TH DR 103","AC replacement","10550","","AAA SERVICE PLUMBING LLC","ECON:230719090509077"
