X,Y,OBJECTID,FolderRSN,Permit_,InDate,FolderType,FolderDesc,FolderGroupDesc,SubDesc,FolderDescription,FolderCondition,IssueDate,valuation,PropertyRSN,PropX,PropY,Address,GlobalID,InDateFixed,IssueDateFixed,IssuedTime
3221234.45989139,1646109.1304784,475123521,1317600,NA,2018/09/05 15:51:05+00,LT,Limited Building Permit,Building,Commercial Miscellaneous,BUILDINGONLINE | Safeway | REMODEL,,2018/09/19 10:39:39+00,75000,102759,3221234.45989139,1646109.1304784,6100 S GUN CLUB RD,{D8FE3CD3-3DA5-49C9-9A7C-D11079A19380},2018-09-05,2018-09-19,14
3188984.70352489,1695032.05592631,475125330,1323801,NA,2018/10/02 10:12:52+00,LT,Limited Building Permit,Building,Commercial Miscellaneous,BUILDINGONLINE | Shops at Fitzsimmons | EXPAND EXISTING TRASH ENCLOSURE. NEW IMPROVEMENTS WILL OCCUPY TWO PARKING SPACES,,2019/04/11 16:27:49+00,12000,16415,3188984.70352489,1695032.05592631,13700 E COLFAX AVE,{8E8D2792-DC38-4815-A9AD-7F1AC7D64185},2018-10-02,2019-04-11,191
3203986.06951948,1703141.31497023,475125809,1325542,NA,2018/10/09 10:06:16+00,LT,Limited Building Permit,Building,Commercial Miscellaneous,BUILDINGONLINE | Walmart Special Project  Aurora CO  5334-239 | REMODEL,,2018/10/22 11:43:26+00,113000,112271,3203986.06951948,1703141.31497023,3301 N TOWER RD,{8C25EA54-3DF0-4215-AE5F-A4CD3490FD37},2018-10-09,2018-10-22,13
3190009.78513613,1696577.67422615,475126199,1326770,NA,2018/10/15 13:50:36+00,LT,Limited Building Permit,Building,Commercial Miscellaneous,"BUILDINGONLINE | SAGE CREEK APARTMENTS| REMODEL STRUCTURAL-ELECT-MECH-PLUMB
",PERMITTED FOR CERTIFICATE OF OCCUPANCY: These submittal documents DO provide sufficient information to approve the above addressed space for occupancy when completed and approved by inspection.*** VINYL SIDING NOT PERMITTED***,2022/12/13 10:01:54+00,250000,12867,3190009.78513613,1696577.67422615,1710 N BILLINGS ST,{4838CBBE-046B-4C56-BFC0-57B51A537509},2018-10-15,2022-12-13,1520
3179520.24935672,1668449.31119165,475126580,1327875,NA,2018/10/19 14:19:46+00,LT,Limited Building Permit,Building,Commercial Miscellaneous,BUILDINGONLINE | 2727 S Parker RD. | TENANT FINISH,NO CERTIFICATE OF OCCUPANCY: These submittal documents DO NOT provide sufficient information to approve the above addressed space for occupancy when completed and approved. A separate permit application complete with all the information necessary to evaluate occupancy must be submitted in order to obtain a Certificate of Occupancy.,2018/10/30 10:00:27+00,30000,63835,3179520.24935672,1668449.31119165,2727 S PARKER RD,{60B31780-2F55-4C0C-9CEE-2241E1B79D1E},2018-10-19,2018-10-30,11
3177554.1177903,1694543.3249484,475129363,1336513,NA,2018/12/06 09:46:41+00,LT,Limited Building Permit,Building,Commercial Miscellaneous,Geneva Apartments - Interior Remodel,TAX EXEMPT #98-03504,2018/12/11 13:31:40+00,52643,17313,3177554.1177903,1694543.3249484,1405 N GENEVA ST,{24FA4F8F-48AC-4045-B18B-A648A85DC2F1},2018-12-06,2018-12-11,5
NA,NA,475129553,1336974,NA,2018/12/10 08:30:55+00,LT,Limited Building Permit,Building,Commercial Miscellaneous,"BUILDINGONLINE |MASTER PLAN VER-1 - VERONA PARK APARTMENTS - ADD LAUNDRY ROOM IN 1 BEDROOM APARTMENTS |  
**CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP*****  **MASTER PLAN FOR FUTURE ADDRESS SPECIFIC PERMITS**","***REC'D LETTER FROM RAPID RESTORATION AND CONSTRUCTION REMOVING THE COMPANY FROM THE MASTER AND REC'D LETTER FROM J SQUARED GENERAL CONTRACTING ADDING THEM AS NEW CONTRACTOR ON MASTER PER DARCY DODD. DD 9/9/19***
PER 12/7/18 PHONE CALL WITH APPLICANT:  VALUATION FOR EACH APARTMENT CONVERSION IS $750.00 LABOR AND MATERIALS.",2018/12/11 10:18:13+00,750,1225,NA,NA,,{44F6F15B-5FBA-4FFD-9D8D-9767A68BF968},2018-12-10,2018-12-11,1
NA,NA,475129555,1336983,NA,2018/12/10 08:43:42+00,LT,Limited Building Permit,Building,Commercial Miscellaneous,"BUILDINGONLINE |MASTER PLAN VER-2 - VERONA PARK APARTMENTS - ADD LAUNDRY ROOM IN 2 BEDROOM APARTMENTS |  
**CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP*****  **MASTER PLAN FOR FUTURE ADDRESS SPECIFIC PERMITS**","***REC'D LETTER FROM RAPID RESTORATION AND CONSTRUCTION REMOVING THE COMPANY FROM THE MASTER AND REC'D LETTER FROM J SQUARED GENERAL CONTRACTING ADDING THEM AS NEW CONTRACTOR ON MASTER PER DARCY DODD. DD 9/9/19***
PER 12/7/18 PHONE CALL WITH APPLICANT:  VALUATION FOR EACH APARTMENT CONVERSION IS $750.00 LABOR AND MATERIALS.",2018/12/11 10:17:30+00,750,1225,NA,NA,,{FDD4D67B-E0D4-4E8C-89D5-10A225352D19},2018-12-10,2018-12-11,1
3183366.21541806,1678794.39778489,475129669,1337284,NA,2018/12/11 10:46:00+00,CT,Counter Permit,Building,Commercial Miscellaneous,PERMIT FROM MASTER PLAN*****CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,UNIT H,2018/12/11 10:48:48+00,750,39895,3183366.21541806,1678794.39778489,12038 E KANSAS DR,{E2BB7E59-7204-475A-92AF-3CF2C81D1543},2018-12-11,2018-12-11,0
3183038.56876364,1678717.58297789,475129670,1337285,NA,2018/12/11 10:46:15+00,CT,Counter Permit,Building,Commercial Miscellaneous,PERMIT FROM MASTER PLAN*****CONVERTING CLOSET INTO WASHER/DRYER ENCLOSURE AND ADD PANEL 100 AMP,UNIT J,2018/12/11 10:49:16+00,750,40062,3183038.56876364,1678717.58297789,11950 E KANSAS DR,{B59FECFF-08AB-4992-A780-8DC12FCCAA81},2018-12-11,2018-12-11,0
