"X","Y","OBJECTID","FolderRSN","Permit_","InDate","FolderType","FolderDesc","FolderGroupDesc","SubDesc","FolderDescription","FolderCondition","IssueDate","valuation","PropertyRSN","PropX","PropY","Address","GlobalID"
3219092.90380706,1637310.85509598,475122425,1313333,NA,"2018/08/20 15:41:45+00","OB","Online Building Folder","Building","Commercial Miscellaneous","BUILDINGONLINE | ANYTIME FITNESS | Window installation","UNIT C **NEED GC**","","30000",118319,3219092.90380706,1637310.85509598,"7420 S GARTRELL RD ","{FC4AAC6A-E3FF-44CD-AE8B-6B2D51A151D4}"
3183754.11457664,1693944.18310206,475122532,1313726,NA,"2018/08/21 14:42:48+00","OB","Online Building Folder","Building","Commercial Miscellaneous","BUILDINGONLINE | Hoffman Heights fencing addition | Scope of Work Includes:Architectural"," CT/ COMM MISC  WITH PLANS. STRUCT INSPECTION ONLY FOR PANIC HARDWARE ON STAIR EXIT DOOR. ASSIGN TO JML","","9585",18745,3183754.11457664,1693944.18310206,"1298 N PEORIA ST ","{8FEC3856-A2E0-4CBD-BFD5-8A41DEF99D86}"
3195988.95526439,1704321.63970931,475122810,1314833,NA,"2018/08/24 14:57:09+00","LT","Limited Building Permit","Building","Commercial Miscellaneous","Del Monte Fresh Produce - Expansion of ripening rooms - (This permit will also include the associated racking). ","**UNIT D**","2018/10/08 10:47:01+00","176186",4575,3195988.95526439,1704321.63970931,"15845 E 32ND AVE ","{BE9BB0C1-E7C2-4D97-BE73-29F8B7C15923}"
3183754.11457664,1693944.18310206,475122939,1315348,NA,"2018/08/28 09:01:20+00","CT","Counter Permit","Building","Commercial Miscellaneous","BUILDINGONLINE | Hoffman Heights fencing addition ","***********************CAN CANCEL 9/9/19 IF NOT ISSUED SEE COMMENTS******************NEED GC****COA PROJECT***WITH PLANS - STRUCT INSPECTION ONLY FOR PANIC HARDWARE ON STAIR EXIT DOOR
***WORK DONE PRIOR TO PERMIT ISSUE**","","9585",18745,3183754.11457664,1693944.18310206,"1298 N PEORIA ST ","{77C8632D-FB2C-476F-9C63-548FEB349180}"
3221557.12164764,1697178.13562365,475123129,1316080,NA,"2018/08/30 09:36:55+00","OB","Online Building Folder","Building","Commercial Miscellaneous","BUILDINGONLINE | Foundation Only for Future Elkay Dust Silo | Scope of Work Includes:Structural","LT/CM Misc.**GC NEEDED** Foundation Only.","","1",118877,3221557.12164764,1697178.13562365,"23655 E 19TH AVE ","{62A3AC5A-835F-4C1D-9DD3-97678887E8FC}"
3221234.45989139,1646109.1304784,475123521,1317600,NA,"2018/09/05 15:51:05+00","LT","Limited Building Permit","Building","Commercial Miscellaneous","BUILDINGONLINE | Safeway | REMODEL","","2018/09/19 10:39:39+00","75000",102759,3221234.45989139,1646109.1304784,"6100 S GUN CLUB RD ","{D8FE3CD3-3DA5-49C9-9A7C-D11079A19380}"
3184697.57791281,1703685.02385657,475123564,1317698,NA,"2018/09/06 09:14:32+00","OB","Online Building Folder","Building","Commercial Miscellaneous","BUILDINGONLINE | Grane RX | Scope of Work Includes:Electrical
** LT Commercial Miscellaneous ***","**PER JOHN ECKERT BRING IN. DC 9/6/18****NEED GC**","","20000",4657,3184697.57791281,1703685.02385657,"3251 N REVERE ST ","{D0E8AF8B-9A3C-489D-AAFE-A8589E7F9018}"
3221557.12164764,1697178.13562365,475123654,1318098,NA,"2018/09/07 10:27:40+00","LT","Limited Building Permit","Building","Commercial Miscellaneous","Dust Silo Relocation","","2018/10/01 10:21:55+00","29948",118877,3221557.12164764,1697178.13562365,"23655 E 19TH AVE ","{72167298-2EC3-4002-8626-A4E657278A48}"
3184697.57791281,1703685.02385657,475123733,1318356,NA,"2018/09/10 08:35:57+00","LT","Limited Building Permit","Building","Commercial Miscellaneous","BUILDINGONLINE | Grane RX | INSTALL GENERATOR","","2018/09/21 11:26:17+00","20000",4657,3184697.57791281,1703685.02385657,"3251 N REVERE ST ","{9E172A36-2E61-4872-B375-DC751393F621}"
3219092.90380706,1637310.85509598,475123745,1318419,NA,"2018/09/10 10:03:57+00","LT","Limited Building Permit","Building","Commercial Miscellaneous","BUILDINGONLINE | ANYTIME FITNESS | Window installation AT EXTERIOR FACADE PER ENGINEER'S PLAN","ELECTRICAL INSPECTION ADDED 11-30-18 JCB - UNIT C ","2018/10/09 22:32:00+00","30000",118319,3219092.90380706,1637310.85509598,"7420 S GARTRELL RD ","{EC3125D9-BE9B-4FCC-BEC3-459E42AFC7EF}"
3189800.36331089,1703448.82944706,475123931,1319120,NA,"2018/09/12 09:28:11+00","OB","Online Building Folder","Building","Commercial Miscellaneous","BUILDINGONLINE | Desert Peak Marketing | Scope of Work Includes: Mechanical
*** LT / Comm. Misc. ***  Give to Pat M.","**UNIT B****NEED GC**","","5500",4738,3189800.36331089,1703448.82944706,"13801 E SMITH DR ","{FA249150-4697-46CD-8FC2-7064CBE9AFFB}"
3195995.01561972,1703701.1685093,475124493,1321125,NA,"2018/09/20 06:02:24+00","OB","Online Building Folder","Building","Commercial Miscellaneous","BUILDINGONLINE | Blue Line Foods- cooler modification | Scope of Work Includes:Structural|Architectural

**LT-Comm Misc**","","","78850",4647,3195995.01561972,1703701.1685093,"15965 E 32ND AVE ","{15449988-4847-4E1D-A4D2-7560A34DE7C7}"
3188984.70352489,1695032.05592631,475124646,1321671,NA,"2018/09/21 18:22:57+00","OB","Online Building Folder","Building","Commercial Miscellaneous","BUILDINGONLINE | Shops at Fitzsimmons | EXPAND EXISTING TRASH ENCLOSURE. NEW IMPROVEMENTS WILL OCCUPY TWO PARKING SPACES====LT-Commercial Misc=====","***NEED GC***","","12000",16415,3188984.70352489,1695032.05592631,"13700 E COLFAX AVE ","{B60B5496-4123-4830-9143-7FEB89C96F42}"
NA,NA,475124916,1322514,NA,"2018/09/26 11:20:15+00","LT","Limited Building Permit","Building","Commercial Miscellaneous","BUCKINGHAM OAKS MASTER- DECK REPLACEMENTS","**MASTER FOR DECK REPLACEMENT**","2018/10/23 13:12:37+00","5000",0,NA,NA,"","{BA705358-26C5-4B32-99F3-D93733C9CEE3}"
3174908.09716372,1700084.69181839,475124948,1322624,NA,"2018/09/26 13:41:34+00","OB","Online Building Folder","Building","Commercial Miscellaneous","BUILDINGONLINE | Gotham Greens at Stanley Marketplace | Foundation Only Permit
*** LT / Comm. Misc. ***","**NEED GC**  All fees to be collected at CM permit.","","0",202134,3174908.09716372,1700084.69181839,"2503 N DALLAS ST ","{F6C87FCC-138F-4F39-84C9-786491D6C703}"
3193986.91432098,1649238.76168631,475125119,1323105,NA,"2018/09/28 09:46:00+00","OB","Online Building Folder","Building","Commercial Miscellaneous","BUILDINGONLINE | Walmart Special Project Aurora CO  Store #1689-232  BG Project 21186 | Scope of Work Includes:Plumbing|Mechanical|Electrical
***LT Miscellaneous ***","**NEED GC**","","111180.00",96619,3193986.91432098,1649238.76168631,"5650 S CHAMBERS RD ","{C1BD689F-971A-420A-9D3F-45CDE628A27D}"
3193986.91432098,1649238.76168631,475125160,1323222,NA,"2018/09/28 14:28:52+00","LT","Limited Building Permit","Building","Commercial Miscellaneous","BUILDINGONLINE | Walmart - BEER COOLER INSTALLATION 
","","2018/10/12 10:09:25+00","111180.00",96619,3193986.91432098,1649238.76168631,"5650 S CHAMBERS RD ","{17696A8B-A88C-4593-BB3B-FD749F9B3395}"
3188984.70352489,1695032.05592631,475125330,1323801,NA,"2018/10/02 10:12:52+00","LT","Limited Building Permit","Building","Commercial Miscellaneous","BUILDINGONLINE | Shops at Fitzsimmons | EXPAND EXISTING TRASH ENCLOSURE. NEW IMPROVEMENTS WILL OCCUPY TWO PARKING SPACES","","2019/04/11 16:27:49+00","12000",16415,3188984.70352489,1695032.05592631,"13700 E COLFAX AVE ","{8E8D2792-DC38-4815-A9AD-7F1AC7D64185}"
3188406.33165014,1678199.90684789,475125545,1324532,NA,"2018/10/04 10:41:53+00","OB","Online Building Folder","Building","Commercial Miscellaneous","BUILDINGONLINE | Envision Radiology | Scope of Work Includes:Architectural

**CT--Comm Misc** with plans","UNIT 114***CL WILL NEED TO BE RENEWED IN OCTOBER 2018**","","10000.00",41447,3188406.33165014,1678199.90684789,"1300 S POTOMAC ST ","{00FBF1FF-7342-4D7C-8889-3DFC6BF26684}"
3188406.33165014,1678199.90684789,475125624,1324812,NA,"2018/10/05 09:05:27+00","LT","Limited Building Permit","Building","Commercial Miscellaneous","BUILDINGONLINE | Envision Radiology | COMBINING TWO DRESSING ROOMS INTO ONE
","UNIT 114","","10000.00",41447,3188406.33165014,1678199.90684789,"1300 S POTOMAC ST ","{3E793ABA-AA6D-40E5-A567-6D8FFE3C0E99}"
3195995.01561972,1703701.1685093,475125633,1324862,NA,"2018/10/05 10:18:19+00","LT","Limited Building Permit","Building","Commercial Miscellaneous","Blue Line Foods- Cooler modification 

","UNIT F","","78850",4647,3195995.01561972,1703701.1685093,"15965 E 32ND AVE ","{9EACEC5D-B7EC-4942-876F-A84494ABCA74}"
3188406.33165014,1678199.90684789,475125710,1325121,NA,"2018/10/08 08:47:06+00","CT","Counter Permit","Building","Commercial Miscellaneous","BUILDINGONLINE | health Images Radiology | with plans","UNIT 110","2018/10/11 09:56:51+00","10000.00",41447,3188406.33165014,1678199.90684789,"1300 S POTOMAC ST ","{6D250A5B-F0D7-4A22-9399-233DEAE8E90F}"
3224078.71634197,1646721.96553881,475125724,1325182,NA,"2018/10/08 10:25:49+00","OB","Online Building Folder","Building","Commercial Miscellaneous","BUILDINGONLINE | Walmart Special Project aurora CO Store #5137-238 | COOLER CASES

**LT-Comm Misc**","","","105340",114291,3224078.71634197,1646721.96553881,"6101 S AURORA PKWY ","{5E6C1701-2FCB-435C-AA89-5ECBA37DC908}"
3203986.06951948,1703141.31497023,475125753,1325342,NA,"2018/10/08 13:27:40+00","OB","Online Building Folder","Building","Commercial Miscellaneous","BUILDINGONLINE | Walmart Special Project  Aurora CO  5334-239 | Scope of Work Includes:Structural|Plumbing|Mechanical|Electrical ====LT-Comercial Misc====","**NEED GC**","","113000",112271,3203986.06951948,1703141.31497023,"3301 N TOWER RD ","{6AE7D03A-A91C-48F1-9DF8-2AD12A2209C7}"
3219953.50477614,1635814.81904607,475125788,1325487,NA,"2018/10/09 00:00:00+00","CT","Counter Permit","Building","Commercial Miscellaneous","MAIL KIOSK FROM MASTER","*** SPECIAL INSPECTIONS REQUIRED FOR PT SLAB AT TRASH ENCLOSURE/COMPACTOR --MAIL KIOSK LOCATED NORTH SIDE OF 7780 S WINNIPEG ST","2018/10/18 13:33:18+00","96310.66",213278,3219953.50477614,1635814.81904607,"7756 S WINNIPEG ST ","{8997729F-677E-4E7E-9E3D-5CA21EF7FB61}"
3219818.31639822,1636124.92669356,475125790,1325498,NA,"2018/10/09 00:00:00+00","CT","Counter Permit","Building","Commercial Miscellaneous","TRASH ENCLOSURE FROM MASTER","*** SPECIAL INSPECTIONS REQUIRED FOR PT SLAB AT TRASH ENCLOSURE/COMPACTORTRASH COMPACTOR/DUMPSTER LOCATED NORTH OF 7705 S WINNIPEG ST","2018/10/18 13:33:12+00","86679.60",213280,3219818.31639822,1636124.92669356,"7687 S WINNIPEG ST ","{782937D7-A7BC-4122-84EE-B8F1F520FFB8}"
3220009.54337797,1635756.27257523,475125791,1325501,NA,"2018/10/09 00:00:00+00","CT","Counter Permit","Building","Commercial Miscellaneous","TRASH ENCLOSURE APPROVED FROM MASTER","*** SPECIAL INSPECTIONS REQUIRED FOR PT SLAB AT TRASH ENCLOSURE/COMPACTORTRASH DUMPSTER/COMPACTOR LOCATED NORTH  OF 7680 S WINNIPEG ST","2018/10/18 13:33:35+00","86679.60",213279,3220009.54337797,1635756.27257523,"7786 S WINNIPEG ST ","{D83A47F7-9A89-4F32-967D-4DE42A64FE48}"
3203986.06951948,1703141.31497023,475125809,1325542,NA,"2018/10/09 10:06:16+00","LT","Limited Building Permit","Building","Commercial Miscellaneous","BUILDINGONLINE | Walmart Special Project  Aurora CO  5334-239 | REMODEL","","2018/10/22 11:43:26+00","113000",112271,3203986.06951948,1703141.31497023,"3301 N TOWER RD ","{8C25EA54-3DF0-4215-AE5F-A4CD3490FD37}"
3190009.78513613,1696577.67422615,475125937,1325991,NA,"2018/10/10 14:16:15+00","OB","Online Building Folder","Building","Commercial Miscellaneous","BUILDINGONLINE | Sage Creek Apartments | Scope of Work Includes:Structural|Plumbing|Mechanical|Electrical|Architectural","LT/ COMM MISC
***NEED GC****","","250000",12867,3190009.78513613,1696577.67422615,"1710 N BILLINGS ST ","{960640BA-4416-42AC-A58D-9450C752E42D}"
3190009.78513613,1696577.67422615,475126199,1326770,NA,"2018/10/15 13:50:36+00","LT","Limited Building Permit","Building","Commercial Miscellaneous","BUILDINGONLINE | SAGE CREEK APARTMENTS| REMODEL STRUCTURAL-ELECT-MECH-PLUMB
","PERMITTED FOR CERTIFICATE OF OCCUPANCY: These submittal documents DO provide sufficient information to approve the above addressed space for occupancy when completed and approved by inspection.*** VINYL SIDING NOT PERMITTED***","2022/12/13 10:01:54+00","250000",12867,3190009.78513613,1696577.67422615,"1710 N BILLINGS ST ","{4838CBBE-046B-4C56-BFC0-57B51A537509}"
3179520.24935672,1668449.31119165,475126421,1327465,NA,"2018/10/17 20:59:21+00","OB","Online Building Folder","Building","Commercial Miscellaneous","BUILDINGONLINE | 2727 S Parker RD. | TENANT FINISH

**LT-Comm Misc**","**NEEDS TO RENEW COMMERCIAL BUILDING LICENSE; NOTIFIED CONTRACTOR ON 10/18/18**","","30000",63835,3179520.24935672,1668449.31119165,"2727 S PARKER RD ","{4C6CA4E4-FD93-4B0D-9AFB-2D44350B5672}"
3179520.24935672,1668449.31119165,475126580,1327875,NA,"2018/10/19 14:19:46+00","LT","Limited Building Permit","Building","Commercial Miscellaneous","BUILDINGONLINE | 2727 S Parker RD. | TENANT FINISH

","NO CERTIFICATE OF OCCUPANCY: These submittal documents DO NOT provide sufficient information to approve the above addressed space for occupancy when completed and approved. A separate permit application complete with all the information necessary to evaluate occupancy must be submitted in order to obtain a Certificate of Occupancy.","2018/10/30 10:00:27+00","30000",63835,3179520.24935672,1668449.31119165,"2727 S PARKER RD ","{60B31780-2F55-4C0C-9CEE-2241E1B79D1E}"
3198291.18523997,1689636.58344956,475126649,1328033,NA,"2018/10/22 10:09:11+00","CT","Counter Permit","Building","Commercial Miscellaneous","REPLACING DRYWALL (APPROX 3200 SF) AND INSULATION DUE TO WATER DAMAGE PER INSURANCE ","NO PLANS - JE","2018/10/22 10:13:37+00","25000",26653,3198291.18523997,1689636.58344956,"575 N NUCLA WAY ","{3A16BC05-4261-4B01-9816-C90C8C7717CC}"
3183786.18308206,1680830.24148223,475126808,1328524,NA,"2018/10/23 13:01:15+00","CT","Counter Permit","Building","Commercial Miscellaneous","REMOVE AND REPLACE DECK PER MASTER","","2018/10/23 13:02:48+00","5000",36093,3183786.18308206,1680830.24148223,"924 S PEORIA ST ","{5CF033A5-53FF-4E26-9621-38043A320E0A}"
3183862.88929348,1680535.03078656,475126809,1328525,NA,"2018/10/23 13:04:05+00","CT","Counter Permit","Building","Commercial Miscellaneous","REMOVE AND REPLACE DECK PER MASTER","","2018/10/23 13:05:23+00","5000",36710,3183862.88929348,1680535.03078656,"12127 E FORD AVE ","{1AEFD804-2373-4519-BC9F-F45DAE28173C}"
3183896.16252089,1680535.03078656,475126810,1328527,NA,"2018/10/23 13:06:10+00","CT","Counter Permit","Building","Commercial Miscellaneous","REMOVE AND REPLACE DECK PER MASTER","","2018/10/23 13:07:59+00","5000",36712,3183896.16252089,1680535.03078656,"12131 E FORD AVE ","{82FF17D0-FD36-48D2-97DB-D4D7CF4BCBF8}"
3183799.80936714,1680830.24148223,475126811,1328528,NA,"2018/10/23 13:08:46+00","CT","Counter Permit","Building","Commercial Miscellaneous","REMOVE AND REPLACE DECK PER MASTER","","2018/10/23 13:10:08+00","5000",36094,3183799.80936714,1680830.24148223,"926 S PEORIA ST ","{CD5BE4FC-6F3E-454A-959C-57607CC766D4}"
3174908.09716372,1700084.69181839,475127122,1329416,NA,"2018/10/29 09:17:40+00","LT","Limited Building Permit","Building","Commercial Miscellaneous","BUILDINGONLINE | Gotham Greens at Stanley Marketplace | Foundation Only Permit
","**IN PROBLEM FILE 11-13-18****NEED GC**  All fees to be collected at CM permit.
******SPECIAL INSPECTIONS FORM REQUIRED PRIOR TO PERMIT ISSUANCE - DA*******","","0",202134,3174908.09716372,1700084.69181839,"2503 N DALLAS ST ","{D1809EFB-497C-496C-8134-8EBC720A5EA0}"
3201387.16887739,1681815.51641455,475127148,1329520,NA,"2018/10/29 11:38:16+00","CT","Counter Permit","Building","Commercial Miscellaneous","INSTALL 8' HIGH BLACK ORNAMENTAL FENCE WITH (2) SINGLE SWING GATES - PER MANUFACT. SPECS","OK FOR CT PER KIRK","2018/10/29 11:43:58+00","11302",34146,3201387.16887739,1681815.51641455,"750 S RICHFIELD ST ","{D2E6A514-E689-4285-B9E0-A391D1A0F586}"
3203455.44820538,1669559.4300344,475127302,1330107,NA,"2018/10/31 10:07:27+00","OB","Online Building Folder","Building","Commercial Miscellaneous","BUILDINGONLINE | Vassar ES Security Vestibule Upgrade | Scope of Work Includes:Architectural","LT/ Comm Misc
**NEED GC**CHECKVALUATION** Valuation ok per JML","","37886",61519,3203455.44820538,1669559.4300344,"18101 E VASSAR PL ","{CA90410B-EE55-42CE-88D8-9ADCE67C0A47}"
3189800.36331089,1703448.82944706,475127312,1330134,NA,"2018/10/31 12:44:31+00","LT","Limited Building Permit","Building","Commercial Miscellaneous","BUILDINGONLINE | Desert Peak Marketing - Install Pizza oven in showroom.  Run approx. 15' of 1"" gas piping from meter.","*UNIT B*
","2018/11/27 08:12:15+00","5500",4738,3189800.36331089,1703448.82944706,"13801 E SMITH DR ","{0A414813-F903-447F-9FA9-C4CB8794162C}"
3189405.67184305,1669013.32942057,475127589,1331061,NA,"2018/11/05 16:34:37+00","OB","Online Building Folder","Building","Commercial Miscellaneous","BUILDINGONLINE | St. Andrews Country Kitchen | Scope of Work Includes:Plumbing|Mechanical|Electrical|Architectural

**LT-Comm Misc**","**CL LICENSE NEEDS RENEWAL**","","75000",102315,3189405.67184305,1669013.32942057,"13801 E YALE AVE ","{325DAACE-E287-4E7D-9BDE-AA4D77F10BD5}"
3224078.71634197,1646721.96553881,475127661,1331399,NA,"2018/11/06 15:02:05+00","LT","Limited Building Permit","Building","Commercial Miscellaneous","BUILDINGONLINE | Walmart Special Project aurora CO Store #5137-238 | COOLER CASES
","","2018/11/20 12:56:31+00","105340",114291,3224078.71634197,1646721.96553881,"6101 S AURORA PKWY ","{7F656406-0BF0-42FC-A8F1-072F6024F512}"
3192847.53339764,1687403.2348979,475127696,1331469,NA,"2018/11/07 08:55:26+00","CT","Counter Permit","Building","Commercial Miscellaneous","INSTALL 150AMP PANEL AND ONE 40 GAL ELECTRIC WATER HEATERS","UNIT H102","2018/11/07 08:58:02+00","3700",29269,3192847.53339764,1687403.2348979,"14896 E 2ND AVE ","{A7BD1445-044F-4DB6-92D7-F6F76E0F9EE6}"
3196554.93740013,1700198.90287606,475127702,1331489,NA,"2018/11/07 09:44:42+00","OB","Online Building Folder","Building","Commercial Miscellaneous","BUILDINGONLINE | Addition of water fountain | Scope of Work Includes:Plumbing|Electrical
====CT-Commercial Misc====","***NEED GC***COA PROJECT","","11500.00",6286,3196554.93740013,1700198.90287606,"16002 E SMITH RD ","{229DD588-46D9-43B8-B445-E33FAE8DB506}"
3189405.67184305,1669013.32942057,475127703,1331491,NA,"2018/11/07 09:47:40+00","LT","Limited Building Permit","Building","Commercial Miscellaneous","BUILDINGONLINE | St. Andrews Country Kitchen Remodel
","","","75000",102315,3189405.67184305,1669013.32942057,"13801 E YALE AVE ","{63F34B84-AE47-420D-B51D-B1774B17F3EF}"
3203641.21555039,1701768.40629873,475127747,1331618,NA,"2018/11/07 14:45:27+00","LT","Limited Building Permit","Building","Commercial Miscellaneous","Silo for Swarco Industries","Bldg NO. 3***WAIVE TAXES AND FEES. FEES PAID ON CORE AND SHELL RSN 1288675 PER DIRK 11/16/18***
**SPECIAL INSPECTIONS AGENCY SAME AS PARENT CM**","2018/12/03 14:26:13+00","0",140081,3203641.21555039,1701768.40629873,"2851 N WALDEN ST ","{8B85E2CE-57FB-4EE8-B881-A02E01B17A1A}"
3196554.93740013,1700198.90287606,475127772,1331691,NA,"2018/11/08 08:11:43+00","CT","Counter Permit","Building","Commercial Miscellaneous","BUILDINGONLINE | Addition of water fountain ","COA PROJECT","2019/01/17 10:57:55+00","11500.00",6286,3196554.93740013,1700198.90287606,"16002 E SMITH RD ","{1B533DEB-7E33-474C-9C5A-2D21A6A018D6}"
3207430.72437556,1704414.84654389,475128072,1332460,NA,"2018/11/13 14:49:34+00","OB","Online Building Folder","Building","Commercial Miscellaneous","BUILDINGONLINE | Country Malt Group | HOPS COOLER","LT/ COMM MISC
","","165000",98195,3207430.72437556,1704414.84654389,"3553 N WINDSOR DR ","{06FDD634-4736-4C5E-A5CC-46470A824836}"
3229266.43956231,1721322.58864698,475128091,1332502,NA,"2018/11/13 16:32:11+00","OB","Online Building Folder","Building","Commercial Miscellaneous","BUILDINGONLINE | Project Groot - Foundation Only Permit 
*** LT / Comm. Misc. ***","**NEED GC**     ***All fees to be collected on CM permit***
**ADDRESS PENDING**","","0",213277,3229266.43956231,1721322.58864698,"6398 N KARCHER WAY ","{5B11D8A1-7A54-422E-BC98-E3797304DBEA}"
3178545.83890396,1688178.66740215,475128115,1332569,NA,"2018/11/14 09:45:32+00","LT","Limited Building Permit","Building","Commercial Miscellaneous","GREASE TRAP INTERCEPTOR-800 GALLONS, REMOVE PART OF DEMISING WALL TO EXPAND BUSINESS TO INCLUDE  352 HAVANA NEW C/O SHALL BE M/B V-N. FOOD SERVICE IS FOR LESS THEN 50 PERSONS","PERMITTED FOR CERTIFICATE OF OCCUPANCY: These submittal documents DO provide sufficient information to approve the above addressed space for occupancy when completed and approved by inspection.","2018/11/26 08:42:55+00","3800",28394,3178545.83890396,1688178.66740215,"354 N HAVANA ST ","{96C4A9DB-5DE4-4A97-A875-2B351243DD0E}"
3207430.72437556,1704414.84654389,475128161,1332686,NA,"2018/11/14 14:32:08+00","LT","Limited Building Permit","Building","Commercial Miscellaneous","BUILDINGONLINE | Country Malt Group | HOPS COOLER","","2018/11/20 10:40:27+00","165000",98195,3207430.72437556,1704414.84654389,"3553 N WINDSOR DR ","{3B67CC3F-5DA3-4848-9ADA-8C235A320745}"
3229266.43956231,1721322.58864698,475128298,1333050,NA,"2018/11/15 15:32:48+00","LT","Limited Building Permit","Building","Commercial Miscellaneous","BUILDINGONLINE | Project Groot - Foundation Only Permit 
**Construction Types IA (office podium) and IIB (remainder) - Occupancies B, F-1, S-1**","***All fees to be collected on CM permit***
","2018/12/26 09:56:26+00","0",213277,3229266.43956231,1721322.58864698,"6398 N KARCHER WAY ","{B2BE1042-FA38-45A4-B980-238284D9A1D1}"
3192131.75234888,1679579.77285457,475128600,1334016,NA,"2018/11/21 11:29:38+00","CT","Counter Permit","Building","Commercial Miscellaneous","REMOVE WALL - NO PLANS","CT OK PER JE","2018/11/21 11:31:54+00","1000",38804,3192131.75234888,1679579.77285457,"14573 E MISSISSIPPI AVE ","{4EDC151B-16C5-4712-B055-847C4E1C0067}"
3208144.67143847,1704350.07830073,475128860,1334847,NA,"2018/11/28 11:28:44+00","OB","Online Building Folder","Building","Commercial Miscellaneous","Strategic Air Solutions Access Control and Camera Installation | Scope of Work Includes:Electrical
LT- Commercial Mis ","**NEED GC**","","46000",105846,3208144.67143847,1704350.07830073,"3500 N WINDSOR DR ","{5AC1868C-5022-46F6-A415-40A31A7DB014}"
3208144.67143847,1704350.07830073,475128914,1335084,NA,"2018/11/29 09:10:50+00","LT","Limited Building Permit","Building","Commercial Miscellaneous","SIEMENS STRATEGIC AIR SOLUTIONS - DOORS ACCESS CONTROLS & CAMERA INSTALLATIONS","**NEED GC**","","46000",105846,3208144.67143847,1704350.07830073,"3500 N WINDSOR DR ","{F6A9EEE6-8F42-4993-B5B8-5B3C7D81D083}"
3183268.18674272,1679078.98251756,475128940,1335146,NA,"2018/11/29 11:35:54+00","CT","Counter Permit","Building","Commercial Miscellaneous","REMOVE EXISTING GLASS PANEL AND INSTALL DOUBLE STORE FRONT DOOR","**UNIT A**OK FOR CT PER PM - WITH PLANS","2018/11/29 11:44:42+00","3960",120914,3183268.18671767,1679078.98246181,"12028 E MISSISSIPPI AVE ","{6784BD6A-D965-412A-A282-F8A903F56738}"
