,Permit..,Issued.Date,Applied,Approved,Permit.Type,Permit.Sub.Type,Address,Description,Contractor.Name,RECORDID
57,BLDG23-2205,09/15/2023,5/10/2023, 8/10/2023,COMMERCIAL,BUILDING,10225 WESTMOOR DR BLDG 6,ZimVie Renovation,FRANSEN PITTMAN GENERAL CONTRA...,ECON:230510105436616
88,BLDG23-3716,09/11/2023,8/4/2023 ,9/5/2023,COMMERCIAL,TENANT FINISH,11400 WESTMOOR CIR #225,TF for Liqid,MAX CONSTRUCTION INC,ECON:230804020623142
84,BLDG23-3460,09/05/2023,7/25/2023, 9/5/2023,COMMERCIAL,TENANT FINISH,6515 W 104TH AVE #100,TF for Dave's Hot Chicken Rest...,MENDEL & CO CONST.,EPRS:230725090216186
99,BLDG23-4066,09/01/2023,8/28/2023, 9/1/2023,COMMERCIAL,WATER REPAIR,9940 WADSWORTH PKWY #100,"8' long repair on 6"" ductile f...",THE ELITE PIPE MD,ECON:230828120521878
48,BLDG23-1899,08/31/2023,4/26/2023, 8/31/2023,COMMERCIAL,TENANT FINISH,8815 EATON ST,TF for Alley Tea Shop,FULL CIRCLE CONSTRUCTION PARTN...,ECON:230426023839605
85,BLDG23-3675,08/30/2023,8/2/2023 ,8/29/2023,COMMERCIAL,DEMOLITION,6515 W 104TH AVE #100,demo for tenant finish - Dave'...,MENDEL & CO CONST.,ECON:230802032450447
30,BLDG23-1334,08/23/2023,3/23/2023, 6/14/2023,COMMERCIAL,TENANT FINISH,14300 ORCHARD PKWY,St. Anthony North - Patient To...,MA MORTENSON COMPANY,ECON:230323113822072
36,BLDG23-1591,08/22/2023,4/6/2023 ,7/3/2023,COMMERCIAL,TENANT FINISH,7237 CHURCH RANCH BLVD #408,TF for Cornerstone ambulatory ...,Kadean Construction Company,EPRS:230406083316506
67,BLDG23-2448,08/22/2023,5/23/2023, 8/21/2023,COMMERCIAL,TENANT FINISH,10445 TOWN CENTER DR #300,TF for Yampa Sandwich Co.,MENDEL & CO CONST.,ECON:230523045415309
95,BLDG23-3948,08/21/2023,8/21/2023, 8/21/2023,COMMERCIAL,FIRE LINE REPAIR,7395 CHURCH RANCH BLVD,"10' repair on 4"" fire line on ...",DIG BOSS LLC,ECON:230821103431578
