"Permit #","Issued Date","Permit Type","Permit Sub Type","Address","Description","Contractor Name","RECORDID"
"BL23-0024","09/14/2023","BUSINESS LICENSE","","9120 GROVE ST","BRIANNA ESQUIBEL Beauty Salon","","DHOR:230914041719118"
"BL23-0025","09/14/2023","BUSINESS LICENSE","","7243 FEDERAL BLVD #1000","ALLURING NAILS LLC","","DHOR:230914042424145"
"BL23-0023","07/31/2023","BUSINESS LICENSE","","5020 W 92ND AVE","Thai Curry 92 LLC","","DHOR:230731035429675"
"BL23-0022","07/17/2023","BUSINESS LICENSE","","9100 W 100TH AVE #B8","Hairtopia LTD","","DHOR:230717040452210"
"23-0012","07/14/2023","SPECIAL EVENT TEMPORARY USE","EVENT ON PUBLIC PROPERTY","10110 CHURCH RANCH WAY","2024 All-Out Dog Days on Big D...","Stacy Bruss","EPRS:230714010537522"
"BL23-0021","06/27/2023","BUSINESS LICENSE","","12001 TEJON ST #122","Sylvan Learning","","DHOR:230627084003853"
"BL23-0020","06/13/2023","BUSINESS LICENSE","","7155 NEWTON ST","RMER Enterprises Inc","","DHOR:230613033252544"
"BL23-0019","06/06/2023","BUSINESS LICENSE","","7243 FEDERAL BLVD #1100","Lily Saigon Pho & Grill, LLC","","DHOR:230606084909119"
"BL23-0018","05/31/2023","BUSINESS LICENSE","","8767 SHERIDAN BLVD","ML & KK LLC","","DHOR:230531040305479"
"BL23-0014","04/27/2023","BUSINESS LICENSE","","2002 W 120TH AVE #B","BEAUTIFULLY MADE SKIN SPA","","DHOR:230427121351003"
"BL23-0015","04/27/2023","BUSINESS LICENSE","","9165 LOWELL BLVD #C","JEREZ-SANTOYD GROUP LTD","","DHOR:230427121842016"
"BL23-0016","04/27/2023","BUSINESS LICENSE","","5191 W 112TH AVE #400","Diaz Beauty","","DHOR:230427122444062"
"BL23-0017","04/27/2023","BUSINESS LICENSE","","1020 W 124TH AVE #600","Glass American Midwest LLC","","DHOR:230427123823088"
"BL23-0012","04/20/2023","BUSINESS LICENSE","","5000 W 92ND AVE","Legacy Nails & Spa, LLC","","DHOR:230420091448780"
"BL23-0013","04/20/2023","BUSINESS LICENSE","","3750 W 72ND AVE","Emmanuel Auto Detail Shop","","DHOR:230420092542823"
