,Permit..,Issued.Date,Applied,Approval,Permit.Type,Permit.Sub.Type,Address,Description,Contractor.Name,RECORDID
49,BLDG22-0049,03/07/2022,1/4/2022,3/2/2022,COMMERCIAL,TENANT FINISH,11059 DOVER ST #2000,TF for Rep Fitness ste 2000,Marcy Forbes,ECON:220104055140507
104,BLDG22-0104,,1/9/2022,,COMMERCIAL,TENANT FINISH,801 W 116TH AVE #100,Phase 3 - Equipment and DHA,Alcorn Construction,ECON:220109081342867
147,BLDG22-0147,,1/10/2022,,COMMERCIAL,TENANT FINISH,11100 VRAIN ST,Interior remodel to create a s...,TBD,EPRS:220110060528424
260,BLDG22-0260,03/08/2022,1/13/2022,3/8/2022,COMMERCIAL,TENANT FINISH,10343 FEDERAL BLVD N,TF for Lucent Dentistry MEP's ...,"BVB GENERAL CONTRACTORS, LLC",ECON:220113042315452
327,BLDG22-0327,,1/17/2022,,COMMERCIAL,BUILDING,8787 TURNPIKE DR #210,TF for Westminster Eye Care,MPB CONTRACTORS INC,ECON:220117045518541
328,BLDG22-0328,03/08/2022,1/17/2022,2/1/2022,COMMERCIAL,BUILDING,8787 TURNPIKE DR 220,Remodel expansion for CO staff...,MPB CONTRACTORS INC,ECON:220117050640618
330,BLDG22-0330,,1/17/2022,,COMMERCIAL,BUILDING,9983 WADSWORTH PKWY,plumbing remodel for King Soop...,GW MECHANICAL AND EXCAVATION L...,ECON:220117060509832
362,BLDG22-0362,04/25/2022,1/18/2022,4/21/2022,COMMERCIAL,TENANT FINISH,10450 TOWN CENTER DR 100,Sephora,BOGART CONSTRUCTION,EPRS:220118070643381
398,BLDG22-0398,02/15/2022,1/20/2022,2/15/2022,COMMERCIAL,TENANT FINISH,1120 W 122ND AVE #105,Tenant Finish for Fidelity-The...,D & E CONSTRUCTION INC,ECON:220120093954870
408,BLDG22-0408,03/10/2022,1/20/2022,3/10/2022,COMMERCIAL,BUILDING,13150 HURON ST,Big Dry Creek WWTF Anoxic Upgr...,"GLACIER CONSTRUCTION CO., INC",ECON:220120123925194
436,BLDG22-0436,,1/21/2022,4/5/2022,COMMERCIAL,TENANT FINISH,5815 W 89TH AVE,TF for Westminster Alley Food ...,PG ARNOLD CONSTRUCTION,ECON:220121025745788
441,BLDG22-0441,,1/24/2022,,COMMERCIAL,TENANT FINISH,10448 TOWN CENTER DR #101,Electrical wiring and installa...,Ronny Roach,EPRS:220124072338144
549,BLDG22-0549,02/10/2022,1/27/2022,2/9/2022,COMMERCIAL TRAILER,CONSTRUCTION TRAILER,13150 HURON ST,Big Dry Creek WWTF Anoxic Upgr...,"GLACIER CONSTRUCTION CO., INC",ECON:220127031417638
550,BLDG22-0550,02/09/2022,1/27/2022,2/8/2022,COMMERCIAL TRAILER,CONSTRUCTION TRAILER,13150 HURON ST,Big Dry Creek WWTF Anoxic Upgr...,"GLACIER CONSTRUCTION CO., INC",ECON:220127031631680
584,BLDG22-0584,,1/31/2022,,COMMERCIAL,TENANT FINISH,6400 W 92ND AVE,Remodel existing Optical Offic...,jing wu,EPRS:220131013837462
588,BLDG22-0588,03/11/2022,1/31/2022,3/10/2022,COMMERCIAL,TENANT FINISH,14315 ORCHARD PKWY #200,TF for Rumble,Snyder Building Construction L...,ECON:220131025603358
597,BLDG22-0597,03/22/2022,1/31/2022,3/21/2022,COMMERCIAL,TENANT FINISH,8787 TURNPIKE DR #210,TF for Westminster Eye Care,MPB CONTRACTORS INC,ECON:220131045348259
599,BLDG22-0599,08/08/2022,1/31/2022,2/28/2022,COMMERCIAL,BUILDING,6400 W 92ND AVE,Remodel existing Optical Offic...,MG2,ECON:220131062409915
656,BLDG22-0656,,2/3/2022,,COMMERCIAL,TENANT FINISH,801 W 116TH AVE #100,Access Control System,HOME SECURITY CENTERS INC,ECON:220203034047233
663,BLDG22-0663,02/08/2022,2/4/2022,2/8/2022,COMMERCIAL,SEWER REPAIR,7320 FEDERAL BLVD,8' SPOT REPAIR IN BACK YARD AN...,TRENCH RIGHT,ECON:220204070012537
760,BLDG22-0760,02/16/2022,2/8/2022,2/16/2022,COMMERCIAL,SEWER REPAIR,7287 LOWELL BLVD,Capping and cutting off the ex...,AFFORD A ROOTER,ECON:220208115758160
761,BLDG22-0761,,2/8/2022,,COMMERCIAL,WATER REPAIR,7287 LOWELL BLVD,Capping and cutting off the ex...,AFFORD A ROOTER,ECON:220208120051241
814,BLDG22-0814,,2/9/2022,,COMMERCIAL,MECHANICAL,12110 PECOS ST #100,HVAC Remodel,A SQUARED MECHANICAL SOLUTIONS...,ECON:220209020529727
819,BLDG22-0819,03/09/2022,2/9/2022,3/9/2022,COMMERCIAL,TENANT FINISH,12225 PECOS ST #100,TF for Alliant Healthcare,PRADELL BUILDERS INC,ECON:220209051102957
827,BLDG22-0827,05/27/2022,2/10/2022,5/27/2022,COMMERCIAL,TENANT FINISH,8725 SHERIDAN BLVD #C,TF Rocky Mountain Sport & Spin...,DC GENERAL SERVICES INC,ECON:220210093630283
837,BLDG22-0837,03/28/2022,2/10/2022,2/17/2022,COMMERCIAL,BUILDING,7120 HOOKER ST,Repair stairs/ railings Abby a...,ALL PHASE RESTORATION,ECON:220210011554941
838,BLDG22-0838,,2/10/2022,,COMMERCIAL,BUILDING,7120 HOOKER ST,Repair/replace rotted stairs x...,ALL PHASE RESTORATION,ECON:220210011745017
839,BLDG22-0839,,2/10/2022,,COMMERCIAL,BUILDING,7120 HOOKER ST,Repair/replace rotted stairs x...,ALL PHASE RESTORATION,ECON:220210011942064
985,BLDG22-0985,02/17/2022,2/15/2022,2/17/2022,COMMERCIAL,WATER REPAIR,12000 ZUNI ST,Emergency water line leak repa...,MCCAULEY CONSTRUCTORS INC,EPRS:220215092457766
1007,BLDG22-1006,02/15/2022,2/15/2022,2/15/2022,COMMERCIAL,ELECTRICAL,9785 EAGLE VIEW LOOP BLDG EVA,Repair damaged electrical wiri...,Kelly Electrical Services,ECON:220215025159388
1055,BLDG22-1054,03/07/2022,2/16/2022,3/3/2022,COMMERCIAL,BUILDING,14521 ORCHARD PKWY #100,Remodel for Old Navy,WEEKES CONSTRUCTION INC.,ECON:220216030424075
1235,BLDG22-1234,,2/24/2022,,COMMERCIAL NEW,NEW BUILDING,4201 W 94TH AVE,Remodel and addition to Carol ...,FRANSEN PITTMAN GENERAL CONTRA...,ECON:220224090157761
1258,BLDG22-1257,06/01/2022,2/24/2022,5/19/2022,COMMERCIAL,BUILDING,4201 W 94TH AVE,Remodel and addition to Carol ...,FRANSEN PITTMAN GENERAL CONTRA...,ECON:220224031840937
1283,BLDG22-1282,,2/26/2022,,COMMERCIAL,TENANT FINISH,1120 W 122ND AVE #105,ACCESS CONTROL,KEY-RITE SECURITY,EPRS:220226074346485
1330,BLDG22-1329,,2/28/2022,,COMMERCIAL,ELECTRICAL,13644 ORCHARD PKWY #100,Tenant finish Wing Stop Restau...,Riviera Electric LLC,ECON:220228025252755
1345,BLDG22-1344,03/30/2022,2/28/2022,3/21/2022,COMMERCIAL,TENANT FINISH,12026 MELODY DR,Perfection Nails salon build o...,MIKE RUTTER CONSTRUCTION,ECON:220228095447636
1384,BLDG22-1383,,3/2/2022,,COMMERCIAL,TENANT FINISH,14584 ORCHARD PKWY BLDG E,Electrical,Brian King,EPRS:220302085557882
1387,BLDG22-1386,,3/2/2022,,COMMERCIAL,BUILDING,14697 DELAWARE ST #1300,TF for People's Pup Dog groomi...,,ECON:220302114453380
1399,BLDG22-1398,,3/2/2022,,COMMERCIAL,TENANT FINISH,12000 ZUNI ST,"Remodel of 13,000 SF school ba...",Michelle McIntosh,EPRS:220302063834855
1436,BLDG22-1435,,3/4/2022,,COMMERCIAL,MECHANICAL,3275 W 74TH AVE,Repair After Vandalism Damages...,Peter Chapa,EPRS:220304082808192
1441,BLDG22-1440,,3/4/2022,,COMMERCIAL,ELECTRICAL,3275 W 74TH AVE,Repair/Replace existing equipm...,CARRY THE LIGHT ELECTRIC,ECON:220304112111937
1443,BLDG22-1442,04/05/2022,3/4/2022,3/31/2022,COMMERCIAL,TENANT FINISH,12110 PECOS ST #250,Summit Pediatric for physical ...,SEVEN POINT CONSTRUCTION INC,EPRS:220304122148546
1464,BLDG22-1464,04/14/2022,3/7/2022,3/22/2022,COMMERCIAL,BUILDING,3275 W 74TH AVE,REPAIR VANDALISM DAMAGES,ASLAN CORPORATION,MSCA:220307010540139
1475,BLDG22-1475,03/14/2022,3/7/2022,3/10/2022,COMMERCIAL,WATER REPAIR,7287 LOWELL BLVD,Capping and cutting off the ex...,AFFORD A ROOTER,ECON:220307025441112
1479,BLDG22-1479,,3/7/2022,4/5/2022,COMMERCIAL,TENANT FINISH,9975 WADSWORTH PKWY #M4,TF for Wreck Room Bar / Grill ...,Colorado National Construction,ECON:220307051720036
1490,BLDG22-1490,05/06/2022,3/8/2022,5/4/2022,COMMERCIAL,TENANT FINISH,14697 DELAWARE ST #1300,TF for People's Pup Dog groomi...,HIVE CONSTRUCTION INC,ECON:220308111919106
1526,BLDG22-1528,,3/9/2022,,COMMERCIAL,BUILDING,7581 W 103RD AVE #300,Remodel for Inotiv/Plato BioPh...,ARCO Construction Holdings Inc,ECON:220309035506786
1559,BLDG22-1561,05/27/2022,3/11/2022,4/28/2022,COMMERCIAL,TENANT FINISH,4750 W 120TH AVE #100,TF for D1 fitness facility,CODA CONSTRUCTION GROUP,EPRS:220311125407450
1562,BLDG22-1564,04/14/2022,3/11/2022,4/13/2022,COMMERCIAL,TENANT FINISH,11080 CIRCLE POINT RD #210,TF for Ameriprise Financial,Ponderosa Construction Inc,ECON:220311023951237
1685,BLDG22-1688,,3/16/2022,,COMMERCIAL NEW,NEW BUILDING,12000 ZUNI ST,Commercial Basement Remodel,McCauley Constructors,EPRS:220316035935367
1688,BLDG22-1691,05/18/2022,3/16/2022,5/10/2022,COMMERCIAL,BUILDING,12000 ZUNI ST,Commercial Basement Remodel,MCCAULEY CONSTRUCTORS INC,EPRS:220316045234882
1732,BLDG22-1735,05/18/2022,3/18/2022,5/17/2022,COMMERCIAL,TENANT FINISH,14416 DELAWARE ST,Re-purpose Mimi's Cafe into pr...,RICH CONTRACTING COMPANY LLC,ECON:220318010659434
1737,BLDG22-1740,05/09/2022,3/19/2022,5/9/2022,COMMERCIAL,BUILDING,12308 BANNOCK ST BLDG 17,Renovate existing fitness cent...,,EPRS:220319040703899
1755,BLDG22-1758,,3/21/2022,,COMMERCIAL,TENANT FINISH,11080 CIRCLE POINT RD,INSTALLATION OF NEW EXIT ACCES...,Ponderosa Construction Inc,ECON:220321121209998
1761,BLDG22-1764,04/11/2022,3/21/2022,3/30/2022,COMMERCIAL,TENANT FINISH,8800 SHERIDAN BLVD,install new boiler in State Co...,DESIGN MECHANICAL INC,EPRS:220321011720946
