Permit Type,Raw Count,Ratio
R- 329 Res Structures Other Than Bldg,302,5.4%
R- 435 Renovations/Remodel,1541,27.6%
C- 329 Com Structures Other Than Bldg,126,2.3%
R- 434 Addition & Alterations,850,15.2%
R- 330 Accessory Use to Primary,59,1.1%
R- 101 Single Family Houses,894,16.0%
C-1000 Commercial Remodel,1024,18.3%
C-1001 Commercial Finish Out,76,1.4%
R- 645 Demolition One Family Homes,292,5.2%
R- 103 Two Family Bldgs,49,0.9%
R-2001 Relocation Residential,14,0.3%
R- 649 Demolition All Other Bldgs Res,58,1.0%
C- 105 Five or More Family Bldgs,39,0.7%
R- 646 Demolition Two Family Bldgs,14,0.3%
R- 102 Secondary Apartment,56,1.0%
C- 106 Mixed Use,5,0.1%
C- 649 Demolition All Other Bldgs Com,44,0.8%
"C- 437 Addn, Alter, Convn-NonRes",20,0.4%
C- 104 Three & Four Family Bldgs,8,0.1%
C-1002 Commercial Remodel & Finish Out,26,0.5%
R- 438 Residential Garage/Carport Addn,9,0.2%
"C- 324 Office, Bank & Professional Bldgs",21,0.4%
C- 323 Hospital & Institutional Bldgs,1,0.0%
C- 328 Commercial Other Nonresident Bldg,10,0.2%
C- 103 Two Family Bldgs,2,0.0%
C- 320 Industrial Bldgs,12,0.2%
C- 321 Pkg Garage Bldg & Open Deck,2,0.0%
C- 327 Stores & Customer Services,15,0.3%
"C- 213 Hotels, Motels, & Tourist Cabins",4,0.1%
"C- 318 Amusement, Social & Rec Bldgs",1,0.0%
C- 319 Churches and Othr Religious Bldgs,1,0.0%
C- 648 Demolition 5 or More Family Bldgs,1,0.0%
C- 326 Schools & Other Educational Bldgs,1,0.0%
C- 322 Service Station & Repair Garage,1,0.0%
C- 647 Demolition 3 and 4 Family Bldgs,1,0.0%
C- 101 Single Family Houses,2,0.0%
C-2000 Relocation Commercial,2,0.0%
