Work Type,Average Days Approved,Number of Projects
ALL WORK,26.8,3992
"ALL WORK with relocation, addition and shell removed",26.7,3979
Residential Repair,1.3,1498
Residential New,48.8,796
Commericial Remodel,35.7,771
Residential Addition and Remodel,58.5,449
Commericial New,51.1,92
Residential Demolition,17.9,327
Commericial Demolition,14.9,36
Commericial Addition and Remodel,71.2,8
Residential Relocation,21.0,9
Residential Remodel,28.0,1
Commericial Addition,89.0,1
Commericial Shell,72.3,3
Commericial Repair,2.0,1
