Work Type,Median Days Approved,Number of Projects
ALL WORK,11.0,3992
"ALL WORK with relocation, addition and shell removed",10,3979
Residential Repair,0.0,1498
Residential New,42.5,796
Commericial Remodel,26,771
Residential Addition and Remodel,51,449
Commericial New,34.5,92
Residential Demolition,10,327
Commericial Demolition,11.0,36
Commericial Addition and Remodel,53.0,8
Residential Relocation,12,9
Residential Remodel,28,1
Commericial Addition,89,1
Commericial Shell,45,3
Commericial Repair,2,1
