Permit Name,Res / Com,Duration,Work Type,Count of Reviews,Occurances of Repeat Reviews,Worst Review,WR Count
2023-024312 PR,Residential ,0,Repair,1,0,None,0
2023-024694 PR,Residential ,0,Repair,1,0,None,0
2023-024889 PR,Residential ,0,Repair,1,0,None,0
2023-024419 PR,Residential ,0,Repair,1,0,None,0
2022-114471 PR,Residential ,22,Demolition,3,0,Historic Preservation,1
2022-115700 PR,Commericial ,149,Remodel,21,6,Building Plans - Electrical,3
2022-116013 PR,Residential ,0,Repair,1,0,None,0
2022-117040 PR,Residential ,0,Repair,1,0,None,0
2022-118132 PR,Residential ,86,Addition and Remodel,5,2,Residential Zoning Review,2
2022-118272 PR,Residential ,71,New,13,5,AE BSPA,4
2022-118534 PR,Residential ,33,New,15,6,Tech Master Review,2
2022-119786 PR,Residential ,0,Repair,1,0,None,0
2022-120272 PR,Commericial ,3,Remodel,4,0,Commercial Building Plans,1
2022-120407 PR,Residential ,0,Repair,1,0,None,0
2022-120450 PR,Residential ,0,Repair,1,0,None,0
2022-120998 PR,Residential ,85,Addition and Remodel,9,2,Fire Review,3
2022-121329 PR,Residential ,10,Addition and Remodel,3,0,Residential Zoning Review,1
2022-122363 PR,Residential ,0,Repair,1,0,None,0
2022-122534 PR,Residential ,22,Addition and Remodel,3,0,Residential Zoning Review,1
2022-123747 PR,Residential ,18,Addition and Remodel,4,0,Residential Zoning Review,1
2022-127869 PR,Commericial ,21,Remodel,13,1,AW Industrial Waste,2
2022-129482 PR,Residential ,0,Repair,1,0,None,0
2022-129870 PR,Residential ,8,Demolition,2,0,Tree Ordinance Review,1
2022-130534 PR,Residential ,0,Repair,1,0,None,0
2022-130642 PR,Residential ,0,Repair,1,0,None,0
2022-131540 PR,Commericial ,67,Remodel,5,1,Commercial Building Plans,2
2022-134203 PR,Residential ,11,Demolition,3,0,Historic Preservation,1
2022-134648 PR,Residential ,0,Repair,1,0,None,0
2022-135936 PR,Residential ,0,Repair,1,0,None,0
2022-139037 PR,Commericial ,146,New,17,4,Commercial Building Plans,2
2022-141145 PR,Residential ,96,Addition and Remodel,12,4,Residential Zoning Review,2
2022-141300 PR,Residential ,10,Demolition,3,0,Historic Preservation,1
2022-143291 PR,Residential ,0,Repair,1,0,None,0
2022-144462 PR,Residential ,34,New,14,6,Tech Master Review,2
2022-145706 PR,Residential ,0,Repair,1,0,None,0
2022-146510 PR,Residential ,0,Repair,1,0,None,0
2022-150594 PR,Residential ,0,Repair,1,0,None,0
2022-151734 PR,Residential ,0,Repair,1,0,None,0
2022-152689 PR,Residential ,0,Repair,1,0,None,0
2022-153889 PR,Residential ,0,Repair,1,0,None,0
2022-154631 PR,Residential ,0,Repair,1,0,None,0
2022-156161 PR,Residential ,0,Repair,1,0,None,0
2022-157624 PR,Residential ,0,Repair,1,0,None,0
2022-159304 PR,Residential ,0,Repair,1,0,None,0
2022-159391 PR,Residential ,51,Addition and Remodel,7,1,Fire Review,2
2022-159416 PR,Residential ,0,Repair,1,0,None,0
2022-160015 PR,Commericial ,79,Remodel,25,9,Building Plans - Electrical,3
2022-160301 PR,Residential ,48,New,16,7,Tech Master Review,2
2022-160589 PR,Residential ,0,Repair,1,0,None,0
2022-162532 PR,Residential ,0,Repair,1,0,None,0
2022-167162 PR,Residential ,14,Addition and Remodel,4,1,Residential Zoning Review,2
2022-168251 PR,Commericial ,0,Remodel,2,0,Commercial Zoning Review,1
2022-168320 PR,Residential ,35,Addition and Remodel,5,1,Tech Master Review,2
2022-169908 PR,Residential ,0,Repair,1,0,None,0
2022-170591 PR,Residential ,0,Repair,1,0,None,0
2022-171758 PR,Residential ,0,Repair,1,0,None,0
2022-171958 PR,Residential ,70,Addition and Remodel,7,2,Residential Zoning Review,2
2022-178157 PR,Residential ,5,Relocation,1,0,None,0
2022-178921 PR,Commericial ,18,Remodel,12,2,Commercial Building Plans,2
2022-183325 PR,Residential ,32,Addition and Remodel,5,2,Residential Zoning Review,2
2022-184567 PR,Residential ,35,Addition and Remodel,5,0,Residential Zoning Review,1
2023-001171 PR,Residential ,0,Repair,1,0,None,0
2023-002717 PR,Residential ,43,Demolition,3,0,Historic Preservation,1
2023-002868 PR,Residential ,0,Repair,1,0,None,0
2023-003402 PR,Commericial ,45,Remodel,19,8,Commercial Building Plans,2
2023-004375 PR,Commericial ,25,Remodel,11,1,Fire Review,2
2023-004414 PR,Residential ,0,Repair,1,0,None,0
2023-006843 PR,Residential ,37,New,6,1,AE BSPA,2
2023-007740 PR,Residential ,0,Repair,1,0,None,0
2023-011608 PR,Residential ,16,Addition and Remodel,5,0,Residential Zoning Review,1
2023-012874 PR,Residential ,13,Addition and Remodel,4,0,Residential Zoning Review,1
2023-013079 PR,Residential ,0,Repair,1,0,None,0
2023-014356 PR,Residential ,8,Repair,2,0,Flood Plain Review,1
2023-015145 PR,Residential ,0,Repair,1,0,None,0
2023-023765 PR,Residential ,0,Repair,1,0,None,0
2022-114290 PR,Commericial ,179,New,14,3,Commercial Building Plans,2
2022-114407 PR,Residential ,85,Demolition,4,1,Historic Preservation,2
2022-114446 PR,Residential ,0,Repair,1,0,None,0
2022-114756 PR,Residential ,111,New,15,6,AE BSPA,3
2022-114898 PR,Residential ,87,New,16,7,Tech Master Review,2
2022-115082 PR,Residential ,0,Repair,1,0,None,0
2022-115102 PR,Residential ,0,Repair,1,0,None,0
2022-115223 PR,Residential ,0,Repair,1,0,None,0
2022-115227 PR,Residential ,0,Repair,1,0,None,0
2022-115271 PR,Residential ,0,Repair,1,0,None,0
2022-115343 PR,Residential ,75,Addition and Remodel,8,2,Residential Zoning Review,2
2022-115367 PR,Residential ,15,Addition and Remodel,4,1,Tech Master Review,3
2022-115406 PR,Residential ,0,Repair,1,0,None,0
2022-115448 PR,Commericial ,23,Remodel,11,1,Building Plans - Mechanical,3
2022-115463 PR,Residential ,30,New,12,5,Tech Master Review,2
2022-115468 PR,Commericial ,51,Remodel,20,7,Commercial Building Plans,3
2022-115481 PR,Commericial ,20,Remodel,11,1,Commercial Zoning Review,4
2022-115522 PR,Residential ,28,New,12,5,Tech Master Review,2
2022-115573 PR,Residential ,19,Demolition,2,0,Tree Ordinance Review,1
2022-115589 PR,Residential ,9,Demolition,3,0,Historic Preservation,1
2022-115642 PR,Commericial ,71,Remodel,15,3,Building Plans - Plumbing,3
2022-115647 PR,Commericial ,48,Remodel,16,2,Building Plans - Electrical,3
2022-115693 PR,Residential ,112,New,5,2,Residential Zoning Review,2
2022-115715 PR,Residential ,6,Repair,2,0,Historic Preservation,1
2022-115806 PR,Residential ,0,Repair,1,0,None,0
2022-115811 PR,Residential ,0,Repair,1,0,None,0
2022-115991 PR,Residential ,0,Repair,1,0,None,0
2022-116034 PR,Residential ,11,Repair,2,0,Flood Plain Review,1
2022-116127 PR,Residential ,124,New,12,4,Tech Master Review,3
2022-116147 PR,Residential ,61,New,10,3,Residential Zoning Review,2
2022-116284 PR,Residential ,173,Addition and Remodel,10,3,Historic Preservation,3
2022-116404 PR,Residential ,0,Repair,1,0,None,0
2022-116409 PR,Residential ,0,Repair,1,0,None,0
2022-116410 PR,Residential ,91,New,14,6,Tech Master Review,2
2022-116419 PR,Residential ,0,Repair,1,0,None,0
2022-116533 PR,Residential ,5,Demolition,3,0,Historic Preservation,1
2022-116654 PR,Residential ,19,Demolition,2,0,Historic Preservation,1
2022-116677 PR,Residential ,10,Demolition,3,0,Historic Preservation,1
2022-116795 PR,Commericial ,35,Demolition,2,0,Historic Preservation,1
2022-116798 PR,Residential ,3,Demolition,1,0,None,0
2022-116926 PR,Residential ,95,New,10,3,Residential Zoning Review,3
2022-116927 PR,Residential ,12,Demolition,2,0,Historic Preservation,1
2022-117031 PR,Residential ,0,Repair,1,0,None,0
2022-117057 PR,Residential ,107,Addition and Remodel,5,2,Residential Zoning Review,2
2022-117081 PR,Residential ,0,Repair,1,0,None,0
2022-117101 PR,Commericial ,149,Remodel,19,4,Commercial Building Plans,4
2022-117108 PR,Residential ,0,Repair,1,0,None,0
2022-117123 PR,Residential ,11,Repair,2,0,Flood Plain Review,1
2022-117126 PR,Residential ,0,Repair,1,0,None,0
2022-117129 PR,Residential ,0,Repair,1,0,None,0
2022-117237 PR,Residential ,0,Repair,1,0,None,0
2022-117247 PR,Residential ,0,Repair,1,0,None,0
2022-117252 PR,Residential ,0,Repair,1,0,None,0
2022-117307 PR,Residential ,37,Addition and Remodel,4,1,Tech Master Review,2
2022-117315 PR,Residential ,107,New,8,3,AE BSPA,3
2022-117441 PR,Residential ,84,New,9,3,AE BSPA,3
2022-117465 PR,Residential ,136,New,13,5,Residential Zoning Review,3
2022-117566 PR,Commericial ,11,New,4,0,Commercial Building Plans,1
2022-117611 PR,Residential ,56,Demolition,4,1,Historic Preservation,3
2022-117647 PR,Residential ,25,Demolition,3,0,Historic Preservation,1
